City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Katsuura,JP,35.1333,140.3,74.1,69,83,8.66,broken clouds
81,Malakal,SS,9.5334,31.6605,74.39,76,5,3.67,clear sky
82,Norman Wells,CA,65.282,-126.8329,35.64,87,75,2.3,broken clouds
83,Nicoya,CR,10.1483,-85.452,75.78,91,100,1.07,overcast clouds
84,Mar Del Plata,AR,-38.0023,-57.5575,50.09,78,40,13.8,scattered clouds
85,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,94,75,9.22,broken clouds
86,Saldanha,ZA,-33.0117,17.9442,55.45,83,3,2.08,clear sky
87,Fortuna,US,40.5982,-124.1573,63.91,76,21,3.0,few clouds
88,Carnarvon,AU,-24.8667,113.6333,66.52,56,0,18.12,clear sky
89,Victoria,HK,22.2855,114.1577,84.25,88,14,5.01,few clouds
90,Mahebourg,MU,-20.4081,57.7,70.25,77,20,8.05,few clouds
91,Alto Araguaia,BR,-17.3147,-53.2153,70.68,86,90,1.41,overcast clouds
92,Te Anau,NZ,-45.4167,167.7167,46.15,84,89,3.85,overcast clouds
93,Valparaiso,CL,-33.0393,-71.6273,56.48,96,100,5.75,fog
94,Sfantu Gheorghe,RO,45.8667,25.7833,50.94,87,53,6.53,broken clouds
95,Karpogory,RU,64.0019,44.4451,38.16,98,100,5.48,overcast clouds
96,Eyl,SO,7.9803,49.8164,76.84,76,18,17.27,few clouds
97,Altay,CN,47.8667,88.1167,30.65,31,0,7.65,clear sky
98,Tonstad,NO,58.6626,6.7169,51.21,91,49,4.29,light rain
99,Hithadhoo,MV,-0.6,73.0833,81.28,68,72,14.52,broken clouds
100,Saint George,US,37.1041,-113.5841,87.44,37,0,5.75,clear sky
101,Chuy,UY,-33.6971,-53.4616,53.98,85,3,6.46,clear sky
102,Leningradskiy,RU,69.3833,178.4167,28.6,80,100,2.15,overcast clouds
103,Bambous Virieux,MU,-20.3428,57.7575,70.21,77,20,8.05,few clouds
104,Bengkulu,ID,-3.8004,102.2655,75.2,91,99,4.81,overcast clouds
105,Egvekinot,RU,66.3167,-179.1667,28.63,71,97,5.06,overcast clouds
106,Komsomolskiy,UZ,40.4272,71.7189,54.32,58,6,4.61,clear sky
107,Ruteng,ID,-8.6136,120.4721,70.0,77,39,1.59,scattered clouds
108,Talnakh,RU,69.4865,88.3972,31.21,94,89,12.46,light snow
109,Praia,CV,14.9215,-23.5087,79.34,69,75,12.66,broken clouds
110,Yaan,NG,7.3833,8.5667,71.24,97,56,4.54,light rain
111,Hermanus,ZA,-34.4187,19.2345,57.33,80,5,12.19,clear sky
112,Northam,GB,51.0333,-4.2167,46.26,80,96,4.03,overcast clouds
113,Bonavista,CA,48.6499,-53.1147,46.18,62,87,14.88,overcast clouds
114,Metro,ID,-5.1131,105.3067,76.12,84,100,3.47,overcast clouds
115,Sechura,PE,-5.5569,-80.8222,65.97,75,41,17.22,scattered clouds
116,Cooma,AU,-36.2333,149.1333,56.7,53,35,3.96,scattered clouds
117,Octeville,FR,49.6261,-1.6435,52.29,93,0,5.75,clear sky
118,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,2.3,light intensity drizzle rain
119,Saint Anthony,US,45.0205,-93.218,71.71,51,20,13.8,few clouds
120,Kodiak,US,57.79,-152.4072,54.91,62,100,9.22,overcast clouds
121,Banikoara,BJ,11.2985,2.4386,75.85,84,74,4.88,broken clouds
122,Cabedelo,BR,-6.9811,-34.8339,75.87,76,15,13.15,few clouds
123,Nizhniy Kuranakh,RU,58.8353,125.4869,24.51,86,100,6.69,light snow
124,Irbit,RU,57.6705,63.071,41.95,65,99,11.32,overcast clouds
125,Qui Nhon,VN,13.7667,109.2333,77.77,88,93,5.3,overcast clouds
126,Ponta Do Sol,PT,32.6667,-17.1,70.43,76,20,3.62,few clouds
127,Baykit,RU,61.67,96.37,27.28,94,98,2.91,overcast clouds
128,Ixtapa,MX,20.7,-105.2,83.23,89,100,2.3,overcast clouds
129,Turi,IT,40.9173,17.0212,65.44,77,0,3.44,clear sky
130,Porto Velho,BR,-8.7619,-63.9039,77.05,88,20,3.44,few clouds
131,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,18.3,light rain
132,Tadine,NC,-21.55,167.8833,73.87,70,100,13.96,overcast clouds
133,Zemio,CF,5.0314,25.1361,67.95,98,97,4.63,light rain
134,Pevek,RU,69.7008,170.3133,30.52,86,100,10.36,overcast clouds
135,Port-Gentil,GA,-0.7193,8.7815,76.96,94,75,9.22,broken clouds
136,Alyangula,AU,-13.8483,136.4192,83.98,61,83,11.52,broken clouds
137,Davila,PH,18.4726,120.5763,78.78,70,20,8.75,few clouds
138,Taboshar,TJ,40.5686,69.6413,43.12,35,11,2.26,few clouds
139,Acarau,BR,-2.8856,-40.12,77.76,80,6,17.49,clear sky
140,Grand Baie,MU,-20.0182,57.5802,70.45,64,32,4.0,scattered clouds
141,Clyde River,CA,70.4692,-68.5914,30.43,69,100,4.61,overcast clouds
142,Union,US,40.6334,-74.2663,57.43,61,100,19.57,overcast clouds
143,Saint-Augustin,CA,51.226,-58.6502,40.06,50,52,10.65,broken clouds
144,Pangnirtung,CA,66.1451,-65.7125,30.63,60,1,3.44,clear sky
145,Ngunguru,NZ,-35.6167,174.5,61.7,80,42,12.91,scattered clouds
146,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,71,75,8.05,broken clouds
147,Bukama,CD,-9.2,25.85,75.24,70,88,1.45,overcast clouds
148,Qaanaaq,GL,77.484,-69.3632,8.55,73,18,7.72,few clouds
149,Choma,ZM,-16.8065,26.9531,66.22,30,0,4.43,clear sky
150,Mikkeli,FI,61.6886,27.2723,39.31,100,100,2.3,fog
151,Cherskiy,RU,68.75,161.3,28.56,88,100,12.44,overcast clouds
152,Drummondville,CA,45.8834,-72.4824,52.72,64,91,2.55,overcast clouds
153,Boguchany,RU,58.3814,97.4531,28.45,90,100,4.7,overcast clouds
154,Olga,RU,43.7444,135.2892,62.08,82,100,2.48,overcast clouds
155,Foz Do Iguacu,BR,-25.5478,-54.5881,72.52,46,0,4.61,clear sky
156,Khatanga,RU,71.9667,102.5,24.19,96,100,11.36,light snow
157,Nome,US,64.5011,-165.4064,46.17,53,0,11.5,clear sky
158,Brainerd,US,46.358,-94.2008,66.22,52,75,9.22,broken clouds
159,Tiksi,RU,71.6872,128.8694,24.44,90,100,8.19,overcast clouds
160,Angoche,MZ,-16.2325,39.9086,73.58,86,8,3.18,clear sky
161,Yar-Sale,RU,66.8333,70.8333,36.25,83,100,13.67,overcast clouds
162,Mayo,US,38.8876,-76.5119,56.08,94,100,7.0,overcast clouds
